NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
PROTAGORAS E;Piccolo cratere;;Protagora;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Filosofo;Grecia;greco;-5;5° secolo a.C.;Abdera;485 a.C.;?;411 a.C.;Eccellente oratore, ideatore dell'arte della persuasione. Autore di un 'Trattato dell'Essere' e di 'Intorno agli Dei'.;0.68;00.68 ° Est;49.39;49.39 ° Nord;Nord-Est;Bordo Settentrionale della Luna;4;Archytas ?;??;Formazione non indicata;Formazione non indicata;;;6;6;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
PTOLEMAEUS B;Cratere;;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;-0.7;0.7 ° Ovest;-7.9;7.9 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;17;17;10;10;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
PTOLEMAEUS C;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;-3.3;3.3 ° Ovest;-10.1;10.1 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;3;3;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
PTOLEMAEUS D;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;-2.5;2.5 ° Ovest;-8.2;8.2 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
PTOLEMAEUS E;Cratere;;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;-4.5;4.5 ° Ovest;-10.2;10.2 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;32;32;19;19;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;7;al Primo Quarto;6 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Faccia visibile
PTOLEMAEUS G;Piccolo cratere;;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;0.1;00.10 ° Est;-7.1;7.1 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;7;7;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
PTOLEMAEUS H;Piccolo cratere;;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;-5.4;5.4 ° Ovest;-7.1;7.1 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;7;7;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
PTOLEMAEUS J;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;-5.4;5.4 ° Ovest;-9.6;9.6 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;5;5;3;3;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
PTOLEMAEUS K;Piccolo cratere;;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;-4.6;4.6 ° Ovest;-8.2;8.2 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;8;8;5;5;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
PTOLEMAEUS L;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;-4;4 ° Ovest;-8.8;8.8 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
PTOLEMAEUS M;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;-3.4;3.4 ° Ovest;-9.4;9.4 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;3;3;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
PTOLEMAEUS O;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;-3.6;3.6 ° Ovest;-7.2;7.2 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;5;5;3;3;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
PTOLEMAEUS P;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;-3.2;3.2 ° Ovest;-11.4;11.4 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
PTOLEMAEUS R;Piccolo cratere;;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;-1.2;1.2 ° Ovest;-6.7;6.7 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;6;6;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
PTOLEMAEUS S;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;-0.5;0.5 ° Ovest;-10.5;10.5 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
PTOLEMAEUS T;Piccolo cratere;;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;0;0 ° Ovest;-7.5;7.5 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;7;7;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
PTOLEMAEUS W;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;1.4;01.40 ° Est;-9.1;9.1 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
PTOLEMAEUS X;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;0.3;00.30 ° Est;-10.9;10.9 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
PTOLEMAEUS Y;Piccolo cratere;;Claudio Tolomeo;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e geografo;Grecia;greco;2;2° secolo d.C.;Tolemaide della Tebaide;90;Canopo;170;Numerosi lavori sulle proiezioni cartografiche e sulla teoria dei suoni. Autore dell'Almagesto, opera enciclopedica in 13 libri, in cui è sviluppata la teoria geocentrica.;0.7;00.70 ° Est;-9.3;9.3 ° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus ?;??;Formazione non indicata;Formazione non indicata;;;6;6;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
PUISEUX A;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Pierre Puiseux;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;19;19° secolo;Parigi;1855;Frontenay;1928;Selenografo. Studi sui movimenti della Luna e degli asteroidi. Determinazione della costante dell'aberrazione. Coautore, insieme a Loewy, di un atlante fotografico della Luna nel 1894, per il quale furono realizzati 6000 rilevamenti di posizione.;-39.7;39.7 ° Ovest;-26.5;26.5 ° Sud;Sud-Ovest;Regione del Mare Humorum;52;Gassendi ?;??;Formazione non indicata;Formazione non indicata;;;3;3;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
PUISEUX B;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Pierre Puiseux;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;19;19° secolo;Parigi;1855;Frontenay;1928;Selenografo. Studi sui movimenti della Luna e degli asteroidi. Determinazione della costante dell'aberrazione. Coautore, insieme a Loewy, di un atlante fotografico della Luna nel 1894, per il quale furono realizzati 6000 rilevamenti di posizione.;-38.8;38.8 ° Ovest;-25.7;25.7 ° Sud;Sud-Ovest;Regione del Mare Humorum;52;Gassendi ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
PUISEUX C;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Pierre Puiseux;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;19;19° secolo;Parigi;1855;Frontenay;1928;Selenografo. Studi sui movimenti della Luna e degli asteroidi. Determinazione della costante dell'aberrazione. Coautore, insieme a Loewy, di un atlante fotografico della Luna nel 1894, per il quale furono realizzati 6000 rilevamenti di posizione.;-37.8;37.8 ° Ovest;-24.7;24.7 ° Sud;Sud-Ovest;Regione del Mare Humorum;52;Gassendi ?;??;Formazione non indicata;Formazione non indicata;;;3;3;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
PUISEUX D;Piccolo cratere;;Pierre Puiseux;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;19;19° secolo;Parigi;1855;Frontenay;1928;Selenografo. Studi sui movimenti della Luna e degli asteroidi. Determinazione della costante dell'aberrazione. Coautore, insieme a Loewy, di un atlante fotografico della Luna nel 1894, per il quale furono realizzati 6000 rilevamenti di posizione.;-36.1;36.1 ° Ovest;-25.7;25.7 ° Sud;Sud-Ovest;Regione del Mare Humorum;52;Gassendi ?;??;Formazione non indicata;Formazione non indicata;;;7;7;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
PUISEUX F;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Pierre Puiseux;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;19;19° secolo;Parigi;1855;Frontenay;1928;Selenografo. Studi sui movimenti della Luna e degli asteroidi. Determinazione della costante dell'aberrazione. Coautore, insieme a Loewy, di un atlante fotografico della Luna nel 1894, per il quale furono realizzati 6000 rilevamenti di posizione.;-38.8;38.8 ° Ovest;-23.4;23.4 ° Sud;Sud-Ovest;Regione del Mare Humorum;52;Gassendi ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
PUISEUX G;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Pierre Puiseux;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;19;19° secolo;Parigi;1855;Frontenay;1928;Selenografo. Studi sui movimenti della Luna e degli asteroidi. Determinazione della costante dell'aberrazione. Coautore, insieme a Loewy, di un atlante fotografico della Luna nel 1894, per il quale furono realizzati 6000 rilevamenti di posizione.;-37.8;37.8 ° Ovest;-28.2;28.2 ° Sud;Sud-Ovest;Regione del Mare Humorum;52;Gassendi ?;??;Formazione non indicata;Formazione non indicata;;;3;3;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
PUISEUX H;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Pierre Puiseux;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;19;19° secolo;Parigi;1855;Frontenay;1928;Selenografo. Studi sui movimenti della Luna e degli asteroidi. Determinazione della costante dell'aberrazione. Coautore, insieme a Loewy, di un atlante fotografico della Luna nel 1894, per il quale furono realizzati 6000 rilevamenti di posizione.;-37;37 ° Ovest;-27.4;27.4 ° Sud;Sud-Ovest;Regione del Mare Humorum;52;Gassendi ?;??;Formazione non indicata;Formazione non indicata;;;3;3;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
PURBACH A;Piccolo cratere;;Georg von Peuerbach;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Austria;austriaco;15;15° secolo;?;1423;?;1461;??;-1.9;1.9 ° Ovest;-26.1;26.1 ° Sud;Sud-Ovest;Regione del cratere Arzachel;55;Arzachel ?;??;Formazione non indicata;Formazione non indicata;;;8;8;5;5;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
